---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0x6641b929b578dc27d25ecaa88a6b1689609f5a2a,65,12591.24,193.7114,7,15,14,18,10,4,105,2024-01-22 16:38:27.000 UTC
0x7374e693a69e031fee33b03a74512cbf0e9bd124,69,5511.4,79.8754,7,13,14,21,10,4,105,2024-01-22 17:45:00.000 UTC
0x2dca8e8b0b5aee76391ed17aaabdebd1b6b712c0,67,6549.43,97.7527,7,12,13,16,10,4,105,2024-01-22 18:06:32.000 UTC
0xa9dbed1573209b6643e0b717f1f9686b6bf3fee3,66,13940.15,211.2144,7,13,14,20,10,4,105,2024-01-22 18:46:51.000 UTC
0x3a5f345e5f960a33157bf69dbf575ba055b51e13,67,12177.53,181.7542,7,14,15,20,10,4,105,2024-01-22 21:26:15.000 UTC
0x9b408c15d74d8bdcf4fdef0c737237772e00ffd5,67,10358.34,154.6021,7,11,14,21,10,4,105,2024-01-22 21:26:41.000 UTC
0x6498b8a19b1867699e482540c44ccf6ebd091f8f,65,5441.04,83.7083,7,13,15,20,10,4,105,2024-01-22 22:59:54.000 UTC
0x4ee0a83297669fd143a91f96e8a0e2cb0b1a0ef2,66,12060.25,182.7311,7,13,15,21,10,4,105,2024-01-22 23:10:21.000 UTC
0x92d2409c20f91d086fe03d455e3f2d843def0f79,65,9797.05,150.7238,7,14,15,17,10,4,105,2024-01-22 23:22:35.000 UTC
0x042c3d3ad0e6391f54012f5e7684d5cde9e1cc26,66,8264.72,125.223,7,14,15,18,10,4,105,2024-01-23 00:02:04.000 UTC
0xee1f0ce4c1544a30767952fdb9912903121e0894,66,9821.35,148.8083,7,12,14,19,10,4,105,2024-01-23 00:57:38.000 UTC
0x6f660c081564a8ab0c77dc289665302df9288c5c,67,7858.82,117.2958,7,14,14,19,10,4,105,2024-01-23 02:37:40.000 UTC
0xe4eda2a6c5c9f466445f3905d5a866c9d3e9d693,66,8856.1,134.1833,7,14,16,21,10,4,105,2024-01-23 02:39:24.000 UTC
0x694b0c9ead332524d6d9b745ab74a2fa14b6be61,69,9345.42,135.4409,7,14,16,21,10,4,105,2024-01-23 05:11:09.000 UTC
0xc61cb199805b69a4d5fa166f8d9050924cd46d2e,68,13218.33,194.3872,7,11,15,22,11,4,105,2024-01-22 18:26:26.000 UTC
0x6210fe9de877aadc6e314fd922d1f08e463cce04,65,11937.17,183.6488,7,13,14,19,11,4,105,2024-01-22 20:22:48.000 UTC
0x3c064ff9848200f86a569919538723bc353e503c,65,14420.11,221.8478,7,12,13,21,11,4,105,2024-01-22 20:48:14.000 UTC
0xf3999315963e58d9ee54dea7185894dd413501f6,65,8333.7,128.2108,7,14,14,20,11,4,105,2024-01-22 22:14:22.000 UTC
0xddd6a6755de72e001cfc03e067edaa592925bb28,67,8457.38,126.2296,7,13,14,18,11,4,105,2024-01-22 22:37:35.000 UTC
0xd13a6e2fac5ccef118bbadef5cb5db4825455a61,69,10014.35,145.1355,7,13,13,19,11,4,105,2024-01-23 01:09:39.000 UTC
0x2de0e3a8494660f80289a7d7728b7d7e2925dac7,69,12547.3,181.8449,7,17,14,18,11,4,105,2024-01-23 01:13:55.000 UTC
0x55a273b89e2957e2214ab91a98c0616decd92ffd,68,8024.64,118.0094,7,15,14,22,11,4,105,2024-01-23 01:35:53.000 UTC
0x1ec23599e92a9768d8e2b3ddb3b5fe9845239978,67,9429.97,140.7458,7,13,14,22,11,4,105,2024-01-23 02:25:32.000 UTC
