---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0x7db2fccd57e3658fa3ff7d3bc4bcaafb99a7c093,59,16678.48,282.6861,9,14,15,11,4,3,97,2024-01-31 06:21:54.000 UTC
0x5b1779e13019ca6ad4a11c9220df2370b81d071d,56,16562.18,295.7532,9,12,12,12,5,4,98,2024-01-30 16:11:47.000 UTC
0xaca5d9cd0603b6674dddffc91ab28474365e6b52,56,5121.06,91.4475,9,13,14,13,5,4,127,2023-12-31 16:58:25.000 UTC
0x4ce2668432cc323464dc6249003dc27bae9b1000,55,5778.84,105.0698,9,13,14,14,5,4,127,2023-12-31 17:03:07.000 UTC
0x13994653c5fb0ed2618481017f5c5a1579a6e535,58,5552.22,95.7279,9,12,14,14,5,4,127,2023-12-31 17:05:09.000 UTC
0xbe628fe7a2e63194eefd2844c2205ff7ade15870,57,6130.94,107.5604,9,14,15,14,5,4,127,2023-12-31 17:15:55.000 UTC
0xec01607a7d6fedbfefd0682a36049cf05ac7b700,55,5527.25,100.4955,9,13,14,13,5,4,127,2023-12-31 17:36:31.000 UTC
0xf7f9f59274d3d5f2c8f74bf30141a53be7734474,56,5324.1,95.0732,9,13,14,13,5,4,127,2023-12-31 18:46:42.000 UTC
0xf6343546a607159637604a7a55f9122a1c84e203,56,17497.76,312.46,9,15,15,14,5,4,127,2023-12-31 18:49:59.000 UTC
0x052dcd49b6f3361cb20e39934aa9c6f96391954b,55,6136.37,111.5704,9,14,14,13,5,4,127,2023-12-31 19:31:53.000 UTC
0xfd57aa73ae0cbbf6fb575623c9c4a472d7478030,55,5714.79,103.9053,9,13,14,14,5,4,127,2023-12-31 19:36:22.000 UTC
0x8f3d65c968a0a1ef72dcd030ad2454d8d7677776,55,5247.17,95.4031,9,11,15,15,5,4,127,2023-12-31 19:40:03.000 UTC
0x2ddbaa8cee5303c129f84023372ee1739ad4079d,57,3489.04,61.2112,9,11,13,14,5,4,127,2023-12-31 21:00:34.000 UTC
